platform,year,revenue_usd_billion,monthly_active_users_million,ad_revenue_usd_billion,other_revenue_usd_billion,yoy_revenue_growth_pct,covid_period
Facebook,2018,55.8,2320,55.0,0.8,37.4,Pre-COVID
Facebook,2019,70.7,2498,69.7,1.0,26.6,Pre-COVID
Facebook,2020,86.0,2797,84.2,1.8,21.6,COVID
Facebook,2021,117.9,2910,114.9,3.0,37.1,Post-COVID
Facebook,2022,116.6,2960,113.6,3.0,-1.1,Post-COVID
Facebook,2023,134.9,3050,131.9,3.0,15.7,Post-COVID
Facebook,2024,156.2,3150,152.2,4.0,15.8,Post-COVID
YouTube,2018,15.1,1900,15.1,0.0,25.8,Pre-COVID
YouTube,2019,19.8,2000,19.8,0.0,31.1,Pre-COVID
YouTube,2020,28.8,2291,28.8,0.0,45.5,COVID
YouTube,2021,42.6,2500,28.8,13.8,47.9,Post-COVID
YouTube,2022,45.8,2700,29.2,16.6,7.5,Post-COVID
YouTube,2023,54.2,2800,31.5,22.7,18.3,Post-COVID
YouTube,2024,65.0,2900,38.0,27.0,19.9,Post-COVID
Twitter,2018,3.0,326,2.6,0.4,25.0,Pre-COVID
Twitter,2019,3.5,330,3.0,0.5,16.7,Pre-COVID
Twitter,2020,3.7,353,3.2,0.5,7.4,COVID
Twitter,2021,5.1,397,4.5,0.6,37.3,Post-COVID
Twitter,2022,4.4,368,3.8,0.6,-13.7,Post-COVID
Twitter,2023,3.0,350,2.5,0.5,-31.8,Post-COVID
Twitter,2024,2.8,360,2.3,0.5,-6.7,Post-COVID
Snapchat,2018,1.2,186,1.2,0.0,43.0,Pre-COVID
Snapchat,2019,1.7,218,1.7,0.0,41.7,Pre-COVID
Snapchat,2020,2.5,265,2.5,0.0,46.4,COVID
Snapchat,2021,4.1,319,4.1,0.0,64.0,Post-COVID
Snapchat,2022,4.6,363,4.6,0.0,12.2,Post-COVID
Snapchat,2023,4.6,406,4.6,0.0,0.0,Post-COVID
Snapchat,2024,5.4,440,5.4,0.0,17.4,Post-COVID
TikTok,2018,0.2,500,0.2,0.0,0.0,Pre-COVID
TikTok,2019,1.0,800,0.9,0.1,400.0,Pre-COVID
TikTok,2020,3.5,1200,3.2,0.3,250.0,COVID
TikTok,2021,8.0,1500,7.4,0.6,128.6,Post-COVID
TikTok,2022,18.0,1800,16.8,1.2,125.0,Post-COVID
TikTok,2023,33.0,2000,31.0,2.0,83.3,Post-COVID
TikTok,2024,53.0,2100,50.0,3.0,60.6,Post-COVID
LinkedIn,2018,5.3,590,2.8,2.5,37.0,Pre-COVID
LinkedIn,2019,6.8,660,3.6,3.2,28.3,Pre-COVID
LinkedIn,2020,8.1,722,4.2,3.9,19.1,COVID
LinkedIn,2021,10.3,800,5.5,4.8,27.2,Post-COVID
LinkedIn,2022,13.8,875,7.5,6.3,34.0,Post-COVID
LinkedIn,2023,15.1,950,8.3,6.8,9.4,Post-COVID
LinkedIn,2024,17.0,1050,9.5,7.5,12.6,Post-COVID
Instagram,2018,9.0,1000,9.0,0.0,40.0,Pre-COVID
Instagram,2019,12.3,1100,12.3,0.0,36.7,Pre-COVID
Instagram,2020,17.0,1221,17.0,0.0,38.2,COVID
Instagram,2021,24.0,1393,24.0,0.0,41.2,Post-COVID
Instagram,2022,29.1,1628,29.1,0.0,21.3,Post-COVID
Instagram,2023,32.0,2000,32.0,0.0,9.9,Post-COVID
Instagram,2024,39.0,2350,39.0,0.0,21.9,Post-COVID
